,city,st_date,week,year,cases,lat,lon,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
11,Tamil Nadu,05-01-2011 00:00,2,2011,16,12.0577635,79.5519969,30.11000007,21.30428587,0,36.07941094,68.46579525,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,0,13.46666667,0.2,10.25,1,5.15,0,0,0,0,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824
12,Tamil Nadu,03-01-2011 00:00,2,2011,15,11.4762345,77.1303521,28.34142848,15.59000002,0,18.64348265,67.48755918,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,0,0,13.46666667,0.2,10.25,1,5.15,0,0,0,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594
13,Tamil Nadu,24-04-2011 00:00,17,2011,4,10.6856163,77.9030721,32.12999971,21.68428585,3.2,43.82035478,78.21013914,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,3.2,0,0,13.46666667,0.2,10.25,1,5.15,0,0,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904
14,Tamil Nadu,09-05-2011 00:00,19,2011,11,11.6634573,78.2611411,33.28285762,21.31999997,2,25.8036499,51.64993341,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,2,3.2,0,0,13.46666667,0.2,10.25,1,5.15,0,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715
15,Tamil Nadu,21-05-2011 00:00,21,2011,16,9.0778543,77.3451861,32.82571411,24.37428583,7.425,35.44010894,69.85602897,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,7.425,2,3.2,0,0,13.46666667,0.2,10.25,1,5.15,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425
16,Tamil Nadu,07-07-2011 00:00,27,2011,8,11.7991611,77.8444222,29.33285768,20.86999975,8.233333333,17.07113052,73.93098668,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,25.23000009,8.233333333,7.425,2,3.2,0,0,13.46666667,0.2,10.25,1,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,31.69857134,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,68.67943725,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698,91.39729963
17,Tamil Nadu,16-09-2011 00:00,38,2011,6,10.4339649,77.8076301,31.24714279,21.21857153,3.58,23.50026703,74.90234266,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,20.53714262,3.58,8.233333333,7.425,2,3.2,0,0,13.46666667,0.2,10.25,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,29.97428594,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,34.71813698,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088,75.01026698
18,Tamil Nadu,02-10-2011 00:00,39,2011,7,12.8933285,79.9307378,35.81999969,24.52428545,2.9,38.67108269,65.86936678,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,24.2671427,2.9,3.58,8.233333333,7.425,2,3.2,0,0,13.46666667,0.2,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,30.91857147,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,69.43997955,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078,87.87861088
19,Tamil Nadu,02-10-2011 00:00,40,2011,20,10.1862529,79.193084,32.88442,23.01668,0,31.05540323,73.68900081,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,14.58142894,0,2.9,3.58,8.233333333,7.425,2,3.2,0,0,13.46666667,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,27.52999987,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,41.46902784,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525,73.57817078
20,Tamil Nadu,12-10-2011 00:00,41,2011,49,12.8229418,80.0479642,33.52285739,24.26142856,12.375,54.38815003,82.83974893,24.26142856,23.01668,24.52428545,21.21857153,20.86999975,24.37428583,21.31999997,21.68428585,15.59000002,21.30428587,12.375,0,2.9,3.58,8.233333333,7.425,2,3.2,0,0,33.52285739,32.88442,35.81999969,31.24714279,29.33285768,32.82571411,33.28285762,32.12999971,28.34142848,30.11000007,54.38815003,31.05540323,38.67108269,23.50026703,17.07113052,35.44010894,25.8036499,43.82035478,18.64348265,36.07941094,82.83974893,73.68900081,65.86936678,74.90234266,73.93098668,69.85602897,51.64993341,78.21013914,67.48755918,68.46579525
