,state,Var.2,st_date,year,week,maxt,mint,rain,soil,rh,cases,lat,lon,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
11,Karnataka,NA,13-06-2011 00:00,2011,24,34.65571431,22.80714308,1.975,37.97065735,60.29504667,34,17.899763,77.459849,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,20.08428546,23.16142845,20.6871,23.82142857,24.01714298,1.975,0,12.22857143,13.6,5,5.7,17.7,1.983333333,0,3.325,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,30.03571456,29.42142868,30.5644,36.12428556,34.13285691,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,39.34858799,79.09899267,44.52596,18.83102951,23.17395973,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581,72.42672402,78.72437722,79.49342237,52.84022032,55.34113857
12,Karnataka,NA,14-07-2011 00:00,2011,28,30.5644,20.6871,46.01428571,44.52596,69.45563,2,13.0507946,74.7972185,20.6871,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,20.08428546,23.16142845,20.6871,23.82142857,46.01428571,1.975,0,12.22857143,13.6,5,5.7,17.7,1.983333333,0,30.5644,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,30.03571456,29.42142868,30.5644,36.12428556,44.52596,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,39.34858799,79.09899267,44.52596,18.83102951,69.45563,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581,72.42672402,78.72437722,79.49342237,52.84022032
13,karnataka,NA,19-09-2011 00:00,2011,39,31.74571473,20.36000007,9.025,37.1315074,60.3922457,12,16.8299689,75.7363025,20.36000007,20.6871,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,20.08428546,23.16142845,20.6871,9.025,46.01428571,1.975,0,12.22857143,13.6,5,5.7,17.7,1.983333333,31.74571473,30.5644,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,30.03571456,29.42142868,30.5644,37.1315074,44.52596,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,39.34858799,79.09899267,44.52596,60.3922457,69.45563,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581,72.42672402,78.72437722,79.49342237
14,karnataka,NA,20-03-2012 00:00,2012,12,39.74714225,23.14571435,0,9.182022667,31.87376812,19,15.9758085,77.4106671,23.14571435,20.36000007,20.6871,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,20.08428546,23.16142845,0,9.025,46.01428571,1.975,0,12.22857143,13.6,5,5.7,17.7,39.74714225,31.74571473,30.5644,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,30.03571456,29.42142868,9.182022667,37.1315074,44.52596,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,39.34858799,79.09899267,31.87376812,60.3922457,69.45563,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581,72.42672402,78.72437722
15,Karnataka,NA,11-04-2012 00:00,2012,17,32.97571427,20.93714278,13.36,37.22061809,63.59171295,26,13.6284935,76.9859077,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,20.08428546,13.36,0,9.025,46.01428571,1.975,0,12.22857143,13.6,5,5.7,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,30.03571456,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,39.34858799,63.59171295,31.87376812,60.3922457,69.45563,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581,72.42672402
16,Karnataka,NA,28-04-2012 00:00,2012,18,38.25571442,23.54857118,0,19.05509631,40.24164963,31,15.7702099,76.7560495,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,20.6871,21.00714275,21.83428574,20.6528571,0,13.36,0,9.025,46.01428571,1.975,0,12.22857143,13.6,5,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,30.5644,28.83571434,31.1771431,26.42571395,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,44.52596,60.46296592,84.56796074,69.58693949,40.24164963,63.59171295,31.87376812,60.3922457,69.45563,60.29504667,69.28371429,84.73415266,87.11294338,77.66800581
17,karnataka,NA,05-05-2012 00:00,2012,19,31.95285715,21.4042857,10.85,53.29810638,60.56369237,52,13.0416373,76.2616945,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,20.6871,21.00714275,21.83428574,10.85,0,13.36,0,9.025,46.01428571,1.975,0,12.22857143,13.6,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,30.5644,28.83571434,31.1771431,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,44.52596,60.46296592,84.56796074,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457,69.45563,60.29504667,69.28371429,84.73415266,87.11294338
18,Karnataka,NA,24-05-2012 00:00,2012,22,34.78142875,23.26571437,0,29.30358124,52.15661076,20,12.9031792,78.1304912,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,20.6871,21.00714275,0,10.85,0,13.36,0,9.025,46.01428571,1.975,0,12.22857143,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,30.5644,28.83571434,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,44.52596,60.46296592,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457,69.45563,60.29504667,69.28371429,84.73415266
19,Karnataka,NA,04-06-2012 00:00,2012,23,31.8771425,21.81857191,2.1,16.41929684,63.74942453,14,14.9247247,76.5302536,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,20.6871,2.1,0,10.85,0,13.36,0,9.025,46.01428571,1.975,0,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,30.5644,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,44.52596,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457,69.45563,60.29504667,69.28371429
20,Karnataka,NA,07-06-2012 00:00,2012,24,30.23428563,20.22142846,0,20.16404228,61.75634166,70,13.9818222,76.9571046,20.22142846,21.81857191,23.26571437,21.4042857,23.54857118,20.93714278,23.14571435,20.36000007,20.6871,22.80714308,0,2.1,0,10.85,0,13.36,0,9.025,46.01428571,1.975,30.23428563,31.8771425,34.78142875,31.95285715,38.25571442,32.97571427,39.74714225,31.74571473,30.5644,34.65571431,20.16404228,16.41929684,29.30358124,53.29810638,19.05509631,37.22061809,9.182022667,37.1315074,44.52596,37.97065735,61.75634166,63.74942453,52.15661076,60.56369237,40.24164963,63.59171295,31.87376812,60.3922457,69.45563,60.29504667
