id,SL,st_date,end_date,rh,rain,maxt,mint,soil,cases,death,week,year,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9,lat,lon
104,104,29-04-2010 00:00,,55.34113857,3.325,34.13285691,24.01714298,23.17395973,10,0,18,2010,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,24.81571443,23.51285689,20.93714305,23.47428594,20.38285664,3.325,13.28333333,0.342857143,16,7.275,7.275,0,0,2.6125,0,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,34.89714323,34.774286,34.9128576,32.44000026,31.17142868,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,38.74154892,8.492694043,7.773423434,27.37358551,7.059418399,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,82.18899972,63.10703441,35.96660968,74.5402941,68.0839495,15.8829197,74.428543
103,103,30-04-2010 00:00,04-05-2010 00:00,52.84022032,0,36.12428556,23.82142857,18.83102951,12,0,19,2010,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,24.81571443,23.51285689,20.93714305,23.47428594,0,3.325,13.28333333,0.342857143,16,7.275,7.275,0,0,2.6125,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,34.89714323,34.774286,34.9128576,32.44000026,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,38.74154892,8.492694043,7.773423434,27.37358551,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,82.18899972,63.10703441,35.96660968,74.5402941,13.3888619,78.213171
133,133,26-04-2010 00:00,,92.30728259,11.575,33.03285762,24.60428565,41.99879608,10,0,20,2010,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,24.81571443,23.51285689,20.93714305,11.575,0,3.325,13.28333333,0.342857143,16,7.275,7.275,0,0,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,34.89714323,34.774286,34.9128576,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,38.74154892,8.492694043,7.773423434,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,82.18899972,63.10703441,35.96660968,9.4810774,76.8456315
152,152,03-05-2010 00:00,,83.61922237,4.966666667,33.03285762,24.60428565,46.99548111,8,0,20,2010,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,24.81571443,23.51285689,4.966666667,11.575,0,3.325,13.28333333,0.342857143,16,7.275,7.275,0,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,34.89714323,34.774286,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,38.74154892,8.492694043,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,82.18899972,63.10703441,9.7542026,76.7602469
153,153,14-05-2010 00:00,,89.95237187,13.4,33.03285762,24.60428565,46.99548111,10,0,20,2010,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,24.81571443,13.4,4.966666667,11.575,0,3.325,13.28333333,0.342857143,16,7.275,7.275,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,34.89714323,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,38.74154892,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,82.18899972,9.8559949,76.6845832
154,154,26-04-2010 00:00,,92.30728259,11.575,33.03285762,24.60428565,41.99879608,16,0,20,2010,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,24.81571443,11.575,13.4,4.966666667,11.575,0,3.325,13.28333333,0.342857143,16,7.275,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,34.89714323,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,38.74154892,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,82.18899972,9.4810562,76.8450521
185,185,24-05-2010 00:00,,79.49342237,1.983333333,31.52642717,21.88714273,48.52060318,40,0,23,2010,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,24.18714305,1.983333333,11.575,13.4,4.966666667,11.575,0,3.325,13.28333333,0.342857143,16,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,34.44714355,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,41.0433569,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,90.40479279,14.2671362,74.5170319
186,186,09-04-2010 00:00,,79.07433755,26.21666667,31.00714357,23.18428585,66.16334534,66,1,23,2010,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,24.18285697,26.21666667,1.983333333,11.575,13.4,4.966666667,11.575,0,3.325,13.28333333,0.342857143,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,41.4271431,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,6.345683575,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,25.66018622,9.4449027,76.9340573
184,184,05-06-2010 00:00,05-06-2010 00:00,78.72437722,17.7,29.42142868,23.16142845,79.09899267,7,0,24,2010,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,23.80571365,17.7,26.21666667,1.983333333,11.575,13.4,4.966666667,11.575,0,3.325,13.28333333,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,33.75999996,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,50.71712176,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,80.44042751,9.1985238,76.9787496
208,208,09-04-2010 00:00,,85.97679574,47.77142857,28.78428541,22.57857159,86.63234456,68,1,24,2010,22.57857159,23.16142845,23.18428585,21.88714273,24.60428565,24.60428565,24.60428565,24.60428565,23.82142857,24.01714298,47.77142857,17.7,26.21666667,1.983333333,11.575,13.4,4.966666667,11.575,0,3.325,28.78428541,29.42142868,31.00714357,31.52642717,33.03285762,33.03285762,33.03285762,33.03285762,36.12428556,34.13285691,86.63234456,79.09899267,66.16334534,48.52060318,41.99879608,46.99548111,46.99548111,41.99879608,18.83102951,23.17395973,85.97679574,78.72437722,79.07433755,79.49342237,92.30728259,89.95237187,83.61922237,92.30728259,52.84022032,55.34113857,9.4449027,76.9340573
