,state,city,cases,st_date,lat,lon,maxt,mint,soil,rain,week,year,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
11,West  Bengal,Bankura,12,01-07-2011 00:00,22.6447915,87.0386909,31.81999942,26.06714303,82.51894951,16.98571429,26,2011,84.13017927,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,16.98571429,0.1,0,7.05,0,0,6.7,6.275,13.65,12.14285714,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027
12,West  Bengal,Bankura,12,01-07-2011 00:00,22.7623787,87.0243171,33.93714305,26.91142872,69.49566078,5.38,28,2011,81.10951015,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,5.38,16.98571429,0.1,0,7.05,0,0,6.7,6.275,13.65,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448
13,West Bengal,Howrah,538,05-09-2011 00:00,22.617557,88.19174,33.94571468,25.7342859,23.82074046,0,40,2011,68.7057397,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,0,5.38,16.98571429,0.1,0,7.05,0,0,6.7,6.275,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166
14,West Bengal,Howrah,84,21-10-2011 00:00,22.5251915,88.1333062,31.61428588,22.91857093,47.10625839,0.3,43,2011,71.96339144,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,0.3,0,5.38,16.98571429,0.1,0,7.05,0,0,6.7,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266
15,West Bengal,Howrah,18,21-09-2011 00:00,22.620024,88.2420715,31.00142833,20.11142867,37.63998747,0,44,2011,61.01708167,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,0,0.3,0,5.38,16.98571429,0.1,0,7.05,0,0,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084
16,West Bengal,Nadia,38,28-07-2012 00:00,23.6884329,86.939827,32.11428615,24.88714273,68.67656199,4.883333333,31,2012,89.69590977,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,17.15857165,4.883333333,0,0.3,0,5.38,16.98571429,0.1,0,7.05,0,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,28.87285696,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,31.91076151,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788,61.17435183
17,West Bengal,Nadia,59,01-09-2012 00:00,23.305544,88.53124,31.59714317,25.20142882,48.00473086,0.3,36,2012,86.01868003,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,16.01000037,0.3,4.883333333,0,0.3,0,5.38,16.98571429,0.1,0,7.05,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,25.79142843,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,39.66199811,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368,62.73559788
18,West Bengal,Nadia,16,13-08-2012 00:00,23.9742977,88.6265475,32.1404,23.87564,43.59492683,0,36,2012,84.54174587,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,10.93857166,0,0.3,4.883333333,0,0.3,0,5.38,16.98571429,0.1,0,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,25.09571402,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,64.55898476,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137,59.41894368
19,West Bengal,Nadia,29,16-08-2012 00:00,23.433115,88.6319986,32.1404,23.87564,53.72651,0.3,36,2012,85.81276594,23.87564,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,18.13571412,0.3,0,0.3,4.883333333,0,0.3,0,5.38,16.98571429,0.1,32.1404,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,33.61285727,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,7.155826092,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927,38.76124137
20,West Bengal,Nadia,27,21-08-2012 00:00,23.7771941,88.2810904,31.59714317,25.20142882,22.8292071,1.1,36,2012,85.46120235,25.20142882,23.87564,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,26.06714303,1.1,0.3,0,0.3,4.883333333,0,0.3,0,5.38,16.98571429,31.59714317,32.1404,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,31.81999942,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,82.51894951,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015,84.13017927
21,West Bengal,Nadia,27,02-09-2012 00:00,23.0765247,88.5293319,32.80428532,25.84000015,57.08456802,1.75,38,2012,83.36527688,25.84000015,25.20142882,23.87564,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,26.91142872,1.75,1.1,0.3,0,0.3,4.883333333,0,0.3,0,5.38,32.80428532,31.59714317,32.1404,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,33.93714305,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,69.49566078,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397,81.10951015
22,West Bengal,Nadia,26,15-09-2012 00:00,22.9467436,88.5857151,32.80428532,25.84000015,57.08456802,1.7,38,2012,83.60132599,25.84000015,25.84000015,25.20142882,23.87564,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,25.7342859,1.7,1.75,1.1,0.3,0,0.3,4.883333333,0,0.3,0,32.80428532,32.80428532,31.59714317,32.1404,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,33.94571468,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,23.82074046,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144,68.7057397
23,West Bengal,Nadia,37,06-10-2012 00:00,23.5204252,88.5593286,32.14857074,24.26857158,71.86752574,0,41,2012,82.64351,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,23.87564,25.20142882,24.88714273,20.11142867,22.91857093,0,1.7,1.75,1.1,0.3,0,0.3,4.883333333,0,0.3,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,32.1404,31.59714317,32.11428615,31.00142833,31.61428588,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,47.10625839,82.64351,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167,71.96339144
24,West Bengal,North 24 Parganas,376,08-10-2012 00:00,22.6420109,88.4311688,31.80571474,24.97428594,38.39994812,2.766666667,41,2012,79.10686602,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,23.87564,25.20142882,24.88714273,20.11142867,2.766666667,0,1.7,1.75,1.1,0.3,0,0.3,4.883333333,0,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,32.1404,31.59714317,32.11428615,31.00142833,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,37.63998747,79.10686602,82.64351,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977,61.01708167
25,West Bengal,North 24 Parganas,197,11-10-2012 00:00,23.0592517,88.8046865,32.14857074,24.26857158,69.69896444,0,41,2012,84.44484929,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,23.87564,25.20142882,24.88714273,0,2.766666667,0,1.7,1.75,1.1,0.3,0,0.3,4.883333333,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,32.1404,31.59714317,32.11428615,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,68.67656199,84.44484929,79.10686602,82.64351,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003,89.69590977
26,West Bengal,Nadia,31,10-10-2012 00:00,23.4036694,88.3658569,32.38428606,22.12857137,46.02836561,7.4,42,2012,69.31742641,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,23.87564,25.20142882,7.4,0,2.766666667,0,1.7,1.75,1.1,0.3,0,0.3,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,32.1404,31.59714317,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,48.00473086,69.31742641,84.44484929,79.10686602,82.64351,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587,86.01868003
27,West Bengal,Nadia,25,02-09-2012 00:00,22.9605105,88.5674032,32.03000041,20.72285707,39.47049951,0,43,2012,61.76300049,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,23.87564,0,7.4,0,2.766666667,0,1.7,1.75,1.1,0.3,0,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,32.1404,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,43.59492683,61.76300049,69.31742641,84.44484929,79.10686602,82.64351,83.60132599,83.36527688,85.46120235,85.81276594,84.54174587
28,West Bengal,Nadia,49,08-10-2012 00:00,22.9639139,88.576327,32.03000041,20.72285707,39.47049951,0,43,2012,61.76300049,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,23.87564,0,0,7.4,0,2.766666667,0,1.7,1.75,1.1,0.3,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,32.1404,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,53.72651,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602,82.64351,83.60132599,83.36527688,85.46120235,85.81276594
29,West Bengal,Nadia,10,28-10-2012 00:00,23.8540045,88.4815582,29.79428591,18.21571405,38.4027977,4.9,47,2012,65.68863024,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,25.20142882,4.9,0,0,7.4,0,2.766666667,0,1.7,1.75,1.1,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,31.59714317,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,22.8292071,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602,82.64351,83.60132599,83.36527688,85.46120235
30,West  Bengal,Burdwan,173,27-06-2013 00:00,23.5875417,87.1999198,34.08142907,25.94571413,70.89539528,7.166666667,27,2013,83.17920249,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,25.84000015,7.166666667,4.9,0,0,7.4,0,2.766666667,0,1.7,1.75,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,32.80428532,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,57.08456802,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602,82.64351,83.60132599,83.36527688
31,West  Bengal,North 24 Parganas,42,05-07-2013 00:00,22.6846668,88.3706491,33.18714305,26.82571466,66.34122181,6.683333333,28,2013,77.484969,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,25.84000015,6.683333333,7.166666667,4.9,0,0,7.4,0,2.766666667,0,1.7,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,32.80428532,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,57.08456802,77.484969,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602,82.64351,83.60132599
32,West Bengal,Burdwan,305,27-06-2013 00:00,23.5875417,87.1999198,33.6314294,25.73000009,58.79311562,2.366666667,28,2013,80.1343362,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,24.26857158,2.366666667,6.683333333,7.166666667,4.9,0,0,7.4,0,2.766666667,0,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,32.14857074,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,71.86752574,80.1343362,77.484969,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602,82.64351
33,West Bengal,Burdwan,372,27-06-2013 00:00,23.5875417,87.1999198,33.49000113,25.725714,64.60736752,1.828571429,29,2013,77.3468192,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,24.97428594,1.828571429,2.366666667,6.683333333,7.166666667,4.9,0,0,7.4,0,2.766666667,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,31.80571474,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,38.39994812,77.3468192,80.1343362,77.484969,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929,79.10686602
34,West Bengal,Burdwan,36,15-08-2013 00:00,23.6129028,87.1160096,32.78857122,24.78428568,57.53794225,9,33,2013,87.43043954,24.78428568,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,24.26857158,9,1.828571429,2.366666667,6.683333333,7.166666667,4.9,0,0,7.4,0,32.78857122,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,32.14857074,57.53794225,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,69.69896444,87.43043954,77.3468192,80.1343362,77.484969,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641,84.44484929
35,West Bengal,Jalpaiguri,189,01-08-2013 00:00,25.837576,90.059631,31.21285711,23.75857135,57.32823181,8.5,33,2013,86.05320849,23.75857135,24.78428568,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,22.12857137,8.5,9,1.828571429,2.366666667,6.683333333,7.166666667,4.9,0,0,7.4,31.21285711,32.78857122,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,32.38428606,57.32823181,57.53794225,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,46.02836561,86.05320849,87.43043954,77.3468192,80.1343362,77.484969,83.17920249,65.68863024,61.76300049,61.76300049,69.31742641
36,West Bengal,Burdwan,86,15-08-2013 00:00,23.6069558,87.1110305,31.84428515,25.14714296,70.88541508,15.525,35,2013,89.00522395,25.14714296,23.75857135,24.78428568,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,20.72285707,15.525,8.5,9,1.828571429,2.366666667,6.683333333,7.166666667,4.9,0,0,31.84428515,31.21285711,32.78857122,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,32.03000041,70.88541508,57.32823181,57.53794225,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,39.47049951,89.00522395,86.05320849,87.43043954,77.3468192,80.1343362,77.484969,83.17920249,65.68863024,61.76300049,61.76300049
37,West Bengal,Burdwan,17,29-08-2013 00:00,23.6888636,86.9660638,33.51285716,25.33571434,72.54458618,9.15,36,2013,83.38630131,25.33571434,25.14714296,23.75857135,24.78428568,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,20.72285707,9.15,15.525,8.5,9,1.828571429,2.366666667,6.683333333,7.166666667,4.9,0,33.51285716,31.84428515,31.21285711,32.78857122,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,32.03000041,72.54458618,70.88541508,57.32823181,57.53794225,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,39.47049951,83.38630131,89.00522395,86.05320849,87.43043954,77.3468192,80.1343362,77.484969,83.17920249,65.68863024,61.76300049
38,West Bengal,"Darjeeling, Jalpaiguri",530,30-08-2013 00:00,26.7271012,88.3952861,29.50857108,21.37857165,85.75823212,37,36,2013,90.02729906,21.37857165,25.33571434,25.14714296,23.75857135,24.78428568,25.725714,25.73000009,26.82571466,25.94571413,18.21571405,37,9.15,15.525,8.5,9,1.828571429,2.366666667,6.683333333,7.166666667,4.9,29.50857108,33.51285716,31.84428515,31.21285711,32.78857122,33.49000113,33.6314294,33.18714305,34.08142907,29.79428591,85.75823212,72.54458618,70.88541508,57.32823181,57.53794225,64.60736752,58.79311562,66.34122181,70.89539528,38.4027977,90.02729906,83.38630131,89.00522395,86.05320849,87.43043954,77.3468192,80.1343362,77.484969,83.17920249,65.68863024
